TAB:  US_New_Jersey_Somerset Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_Jersey_Somerset Confirmed 1/23/2020     1        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .             2        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 1/25/2020     3        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .             4        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 1/27/2020     5        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .             6        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 1/29/2020     7        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .             8        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 1/31/2020     9        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            10        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 2/2/2020     11        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            12        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 2/4/2020     13        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            14        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 2/6/2020     15        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            16        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 2/8/2020     17        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            18        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 2/10/2020    19        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            20        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 2/12/2020    21        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            22        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 2/14/2020    23        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            24        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 2/16/2020    25        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            26        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 2/18/2020    27        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            28        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 2/20/2020    29        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            30        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 2/22/2020    31        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            32        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 2/24/2020    33        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            34        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 2/26/2020    35        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            36        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 2/28/2020    37        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            38        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 3/1/2020     39        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            40        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 3/3/2020     41        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            42        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 3/5/2020     43        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            44        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 3/7/2020     45        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            46        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 3/9/2020     47        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            48        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 3/11/2020    49        0     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            50        1     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 3/13/2020    51        1     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            52        1     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 3/15/2020    53        1     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            54        5     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 3/17/2020    55        7     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed .            56       16     4679        0        0        0        0        0
TAB:  US_New_Jersey_Somerset Confirmed 3/19/2020    57       21     4679       86        1       86      605      605
TAB:  US_New_Jersey_Somerset Confirmed .            58       28     4679       84        2       84      137      137
TAB:  US_New_Jersey_Somerset Confirmed 3/21/2020    59       34     4679       85        3       85       86       86
TAB:  US_New_Jersey_Somerset Confirmed .            60       51     4679      108        1      108      205      167
TAB:  US_New_Jersey_Somerset Confirmed 3/23/2020    61       67     4679      259        3       86      432      259
TAB:  US_New_Jersey_Somerset Confirmed .            62      102     4679      432        2      432     3543     1296
TAB:  US_New_Jersey_Somerset Confirmed 3/25/2020    63      117     4679      432        2      432     2160     1123
TAB:  US_New_Jersey_Somerset Confirmed .            64      179     4679      950        1      950    21348     2852
TAB:  US_New_Jersey_Somerset Confirmed 3/27/2020    65      222     4679     1469        2     1469    31029     3716
TAB:  US_New_Jersey_Somerset Confirmed .            66      258     4679      777        1      777    23250     2679
TAB:  US_New_Jersey_Somerset Confirmed 3/29/2020    67      295     4679     1469        2      432     9766     1987
TAB:  US_New_Jersey_Somerset Confirmed .            68      349     4679      667        2      667     3552     1829
TAB:  US_New_Jersey_Somerset Confirmed 3/31/2020    69      413     4679     1040        2      901     4231     1872
TAB:  US_New_Jersey_Somerset Confirmed .            70      472     4679     1296        3     1123    19274     2333
TAB:  US_New_Jersey_Somerset Confirmed 4/2/2020     71      549     4679     1469        3     1469     2852     2160
TAB:  US_New_Jersey_Somerset Confirmed .            72      641     4679     1987        5     1987     3198     2679
TAB:  US_New_Jersey_Somerset Confirmed 4/4/2020     73      765     4679     3543        3     2333     5099     3198
TAB:  US_New_Jersey_Somerset Confirmed .            74      833     4679     3716        4     2679     5099     3370
TAB:  US_New_Jersey_Somerset Confirmed 4/6/2020     75      902     4679     3543        4     1296    31893     3370
TAB:  US_New_Jersey_Somerset Confirmed .            76     1033     4679     3306        3     2391    18772     3815
TAB:  US_New_Jersey_Somerset Confirmed 4/8/2020     77     1160     4679     4077        3     3133    16867     4420
TAB:  US_New_Jersey_Somerset Confirmed .            78     1335     4679     4753        3     3543    30337     7519
TAB:  US_New_Jersey_Somerset Confirmed 4/10/2020    79     1523     4679     4235        3     4235    12359     6309
TAB:  US_New_Jersey_Somerset Confirmed .            80     1642     4679     4580        2     4580    31202     6828
TAB:  US_New_Jersey_Somerset Confirmed 4/12/2020    81     1732     4679     6482        3     2160    25843     8211
TAB:  US_New_Jersey_Somerset Confirmed .            82     1809     4679     4645        2     2011    14081     6108
TAB:  US_New_Jersey_Somerset Confirmed 4/14/2020    83     1911     4679     5720        2     2203     9137     5621
TAB:  US_New_Jersey_Somerset Confirmed .            84     2001     4679     5338        2     2329     6695     4677
TAB:  US_New_Jersey_Somerset Confirmed 4/16/2020    85     2103     4679     5099        5     2506     5963     4408
TAB:  US_New_Jersey_Somerset Confirmed .            86     2195     4679     4856        5     2673    21661     4310
TAB:  US_New_Jersey_Somerset Confirmed 4/18/2020    87     2283     4679     4272        3     2802     6299     3994
TAB:  US_New_Jersey_Somerset Confirmed .            88     2384     4679     4308        3     2970     6827     4151
TAB:  US_New_Jersey_Somerset Confirmed 4/20/2020    89     2488     4679     4215        6     3154     9632     3992
TAB:  US_New_Jersey_Somerset Confirmed .            90     2588     4679     4235       11     3370    12878     4408
TAB:  US_New_Jersey_Somerset Confirmed 4/22/2020    91     2688     4679     4235       12     3543    17372     6828
TAB:  US_New_Jersey_Somerset Confirmed .            92     2798     4679     4235       15     3716    24633     9248
TAB:  US_New_Jersey_Somerset Confirmed 4/24/2020    93     2921     4679     4235       14     4062    22558     9075
TAB:  US_New_Jersey_Somerset Confirmed .            94     3030     4679     4408       13     4235    25843    10112
TAB:  US_New_Jersey_Somerset Confirmed 4/26/2020    95     3144     4679     4580       14     4408    26361    10976
TAB:  US_New_Jersey_Somerset Confirmed .            96     3204     4679     4463       11     3885    12492     6519
TAB:  US_New_Jersey_Somerset Confirmed 4/28/2020    97     3278     4679     4548        9     3598     8712     4865
TAB:  US_New_Jersey_Somerset Confirmed .            98     3372     4679     4584       11     3954     7574     4741
TAB:  US_New_Jersey_Somerset Confirmed 4/30/2020    99     3464     4679     4640       13     4360     7252     5013
TAB:  US_New_Jersey_Somerset Confirmed .           100     3537     4679     4753       19     4408     7173     5445
TAB:  US_New_Jersey_Somerset Confirmed 5/2/2020    101     3605     4679     4682       10     4530     6281     5291
