TAB:  US_Pennsylvania_Montgomery Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Pennsylvania_Montgomery Confirmed 1/23/2020     1        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .             2        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 1/25/2020     3        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .             4        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 1/27/2020     5        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .             6        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 1/29/2020     7        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .             8        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 1/31/2020     9        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            10        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 2/2/2020     11        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            12        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 2/4/2020     13        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            14        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 2/6/2020     15        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            16        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 2/8/2020     17        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            18        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 2/10/2020    19        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            20        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 2/12/2020    21        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            22        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 2/14/2020    23        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            24        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 2/16/2020    25        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            26        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 2/18/2020    27        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            28        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 2/20/2020    29        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            30        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 2/22/2020    31        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            32        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 2/24/2020    33        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            34        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 2/26/2020    35        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            36        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 2/28/2020    37        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            38        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 3/1/2020     39        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            40        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 3/3/2020     41        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            42        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed 3/5/2020     43        0     7672        0        0        0        0        0
TAB:  US_Pennsylvania_Montgomery Confirmed .            44        0     7672        0        0        0        0        0
