TAB:  US_Virginia_Loudoun Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Virginia_Loudoun Confirmed 1/23/2020     1        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .             2        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 1/25/2020     3        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .             4        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 1/27/2020     5        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .             6        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 1/29/2020     7        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .             8        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 1/31/2020     9        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            10        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 2/2/2020     11        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            12        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 2/4/2020     13        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            14        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 2/6/2020     15        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            16        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 2/8/2020     17        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            18        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 2/10/2020    19        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            20        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 2/12/2020    21        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            22        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 2/14/2020    23        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            24        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 2/16/2020    25        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            26        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 2/18/2020    27        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            28        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 2/20/2020    29        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            30        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 2/22/2020    31        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            32        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 2/24/2020    33        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            34        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 2/26/2020    35        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            36        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 2/28/2020    37        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            38        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 3/1/2020     39        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            40        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 3/3/2020     41        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            42        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 3/5/2020     43        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            44        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 3/7/2020     45        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            46        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 3/9/2020     47        0     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            48        1     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 3/11/2020    49        1     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            50        2     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 3/13/2020    51        3     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            52        5     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 3/15/2020    53        5     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            54        5     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 3/17/2020    55        5     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            56        5     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 3/19/2020    57        5     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed .            58        9     3174       58        2       58       58       58
TAB:  US_Virginia_Loudoun Confirmed 3/21/2020    59       14     3174      410        1      410      527      527
TAB:  US_Virginia_Loudoun Confirmed .            60       15     3174      410        1      410     8266      527
TAB:  US_Virginia_Loudoun Confirmed 3/23/2020    61       15     3174       58        3       58      175      175
TAB:  US_Virginia_Loudoun Confirmed .            62       18     3174       58        6       58      175      175
TAB:  US_Virginia_Loudoun Confirmed 3/25/2020    63       20     3174       58        8       58     5335      175
TAB:  US_Virginia_Loudoun Confirmed .            64       28     3174       58        3       58     6156      410
TAB:  US_Virginia_Loudoun Confirmed 3/27/2020    65       43     3174     4983        1     4983    22338    22338
TAB:  US_Virginia_Loudoun Confirmed .            66       54     3174        0        0        0        0        0
TAB:  US_Virginia_Loudoun Confirmed 3/29/2020    67       61     3174      293        1      293      293      293
TAB:  US_Virginia_Loudoun Confirmed .            68       61     3174       58        2       58     6273      293
TAB:  US_Virginia_Loudoun Confirmed 3/31/2020    69       87     3174      410        1      410    15302     1231
TAB:  US_Virginia_Loudoun Confirmed .            70      105     3174      644        2      410     1934      644
TAB:  US_Virginia_Loudoun Confirmed 4/2/2020     71      121     3174      410        1      410    22338      762
TAB:  US_Virginia_Loudoun Confirmed .            72      130     3174      410        3      175    14950      762
TAB:  US_Virginia_Loudoun Confirmed 4/4/2020     73      150     3174      410        4      293     8735     1348
TAB:  US_Virginia_Loudoun Confirmed .            74      167     3174      410        4      293    11198     2521
TAB:  US_Virginia_Loudoun Confirmed 4/6/2020     75      188     3174      527        3      410     5804     1700
TAB:  US_Virginia_Loudoun Confirmed .            76      209     3174      527        3      410    10142     1348
TAB:  US_Virginia_Loudoun Confirmed 4/8/2020     77      238     3174      644        3      644    22807     1583
TAB:  US_Virginia_Loudoun Confirmed .            78      258     3174      762        4      644    17530     1700
TAB:  US_Virginia_Loudoun Confirmed 4/10/2020    79      274     3174      644        4      410    16826     1465
TAB:  US_Virginia_Loudoun Confirmed .            80      296     3174      644        4      410    21165     1348
TAB:  US_Virginia_Loudoun Confirmed 4/12/2020    81      309     3174      655        4      379    11905     1207
TAB:  US_Virginia_Loudoun Confirmed .            82      324     3174      414        3      414     7007      846
TAB:  US_Virginia_Loudoun Confirmed 4/14/2020    83      344     3174      470        4      470     4238      784
TAB:  US_Virginia_Loudoun Confirmed .            84      367     3174      644       10      527     4983     1348
TAB:  US_Virginia_Loudoun Confirmed 4/16/2020    85      378     3174      644        9      527     2638     1231
TAB:  US_Virginia_Loudoun Confirmed .            86      385     3174      593        3      407     1811      645
TAB:  US_Virginia_Loudoun Confirmed 4/18/2020    87      413     3174      576        3      576     1532      729
TAB:  US_Virginia_Loudoun Confirmed .            88      425     3174      605        3      583     1325      752
TAB:  US_Virginia_Loudoun Confirmed 4/20/2020    89      446     3174      644       16      644     1348      996
TAB:  US_Virginia_Loudoun Confirmed .            90      468     3174      644       14      644     2403     1113
TAB:  US_Virginia_Loudoun Confirmed 4/22/2020    91      475     3174      644       14      527     1348      879
TAB:  US_Virginia_Loudoun Confirmed .            92      498     3174      762       12      644     1583     1113
TAB:  US_Virginia_Loudoun Confirmed 4/24/2020    93      529     3174      762       18      762     5335     1583
TAB:  US_Virginia_Loudoun Confirmed .            94      564     3174      879       11      762     9204     1231
TAB:  US_Virginia_Loudoun Confirmed 4/26/2020    95      596     3174      879       15      879    21868     1348
TAB:  US_Virginia_Loudoun Confirmed .            96      628     3174      996        9      879    17061     1465
TAB:  US_Virginia_Loudoun Confirmed 4/28/2020    97      688     3174     1113       13     1113     4279     1700
