TAB:  US_Minnesota_Ramsey Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Minnesota_Ramsey Confirmed 1/23/2020     1        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed .             2        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed 1/25/2020     3        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed .             4        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed 1/27/2020     5        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed .             6        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed 1/29/2020     7        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed .             8        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed 1/31/2020     9        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed .            10        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed 2/2/2020     11        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed .            12        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed 2/4/2020     13        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed .            14        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed 2/6/2020     15        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed .            16        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed 2/8/2020     17        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed .            18        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed 2/10/2020    19        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed .            20        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed 2/12/2020    21        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed .            22        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed 2/14/2020    23        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed .            24        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed 2/16/2020    25        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed .            26        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed 2/18/2020    27        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed .            28        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed 2/20/2020    29        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed .            30        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed 2/22/2020    31        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed .            32        0     3626        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Confirmed 2/24/2020    33        0     3626        0        0        0        0        0
