TAB:  US_Arizona_Maricopa Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Arizona_Maricopa Confirmed 1/23/2020     1        0    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed .             2        0    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed 1/25/2020     3        0    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed .             4        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed 1/27/2020     5        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed .             6        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed 1/29/2020     7        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed .             8        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed 1/31/2020     9        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed .            10        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed 2/2/2020     11        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed .            12        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed 2/4/2020     13        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed .            14        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed 2/6/2020     15        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed .            16        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed 2/8/2020     17        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed .            18        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed 2/10/2020    19        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed .            20        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed 2/12/2020    21        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed .            22        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed 2/14/2020    23        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed .            24        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed 2/16/2020    25        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed .            26        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed 2/18/2020    27        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed .            28        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed 2/20/2020    29        1    14374        0        0        0        0        0
TAB:  US_Arizona_Maricopa Confirmed .            30        1    14374        0        0        0        0        0
